# おもて

1		や
2	ら
3		ふ
4	め
5		え
6		お
7		ひ
8		ゆ
9	ね
0	み
-		ほ
^		へ
\	ー

q		そ
w		け
e		せ
r		て
t		よ
y		つ
u	ん
i	の
o		わ
p	り
@		ち
[	ぬ

a		は
s		か
d		し
f		と
g		た
h		く
j		う
k		い
l	゛
;		き
:	な
]	む

z		す
x		こ
c	に
v		さ
b		あ
n	っ
m	ま
,	も
.	る
/	れ
_	ろ

# shift

!	！
|	・

`	（
{	「

L	゜
*	）
}	」

<	、
>	。
?	？

# 濁音・半濁音

かl	が
きl	ぎ
くl	ぐ
けl	げ
こl	ご

さl	ざ
しl	じ
すl	ず
せl	ぜ
そl	ぞ

たl	だ
ちl	ぢ
つl	づ
てl	で
とl	ど

はl		ば
ひl		び
ふl		ぶ
へl		べ
ほl		ぼ

ばl	ぱ
びl	ぴ
ぶl	ぷ
べl	ぺ
ぼl	ぽ

ぅl	ゔ

# 小書き拡張
# 1は「ぬ」に割り当てられている前提；ひぬ、るぬ という連接がないことから

あl	ぁ
いl	ぃ
うl		ぅ
えl	ぇ
おl	ぉ

やl	ゃ
ゆl	ゅ
よl	ょ

わo	を
